Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8
472,819,235,674,128,943,391,506
617,342,781,109,456,287,834,263
951,428,693,574,312,806,147,985
236,714,159,837,491,362,608,421
883,195,546,372,964,718,253,679
347,892,461,625,178,534,996,412
704,239,813,496,351,167,582,845
159,673,384,921,607,432,795,318
526,781,247,563,894,315,462,937
692,134,876,429,753,681,298,574
418,957,362,684,231,849,513,796
875,326,591,142,968,475,821,369
243,619,784,517,396,732,158,904
781,452,937,294,863,641,375,216
319,586,173,842,497,924,651,483
964,271,658,395,712,186,829,547
537,843,429,976,324,568,413,792
182,695,314,561,879,436,987,265
846,378,592,723,451,819,346,681
429,961,257,638,194,572,893,417
673,512,846,381,925,346,718,529
238,794,463,897,652,481,275,963
591,326,718,254,837,693,412,586
827,469,185,672,513,976,349,821
374,918,536,429,761,282,694,453
956,243,871,596,318,547,829,376
182,675,394,823,461,792,536,914
719,458,926,371,687,214,863,529
346,812,579,964,423,681,397,752
893,275,641,518,936,462,784,319
527,984,362,795,241,873,596,461
674,319,857,426,982,537,213,896
241,763,598,914,376,821,459,682
918,436,275,683,529,394,876,347
365,892,741,528,957,631,482,794
752,314,986,467,813,259,647,421
489,671,352,924,786,513,978,296
826,547,419,762,324,891,465,683
263,918,674,381,597,426,832,549
971,425,836,514,763,298,675,932
348,792,561,987,436,854,321,576
685,239,873,462,918,673,546,894
432,596,718,325,841,497,963,418
879,364,925,578,263,782,419,751
546,821,493,736,987,541,876,392
923,478,659,421,815,376,543,987
371,964,582,893,462,718,295,654
718,325,847,596,931,482,769,521
465,892,374,718,563,927,436,813
892,547,961,482,376,691,528,974
739,418,623,857,924,563,897,346
286,975,541,392,718,429,652,891
823,364,896,547,961,382,718,523
571,892,473,914,326,857,461,798
948,521,736,483,892,674,325,961
395,867,582,719,463,928,571,436
742,319,954,876,521,397,843,682
489,673,421,963,784,562,319,897
936,547,892,418,675,931,486,723
283,914,736,582,947,463,821,598
821,396,573,941,328,786,452,917
468,752,819,376,963,541,897,324
795,631,482,897,524,918,376,851
342,987,563,741,896,432,719,568
689,421,936,587,763,894,541,932
936,578,324,891,462,719,853,476
483,845,697,532,978,361,892,643
721,396,854,467,923,578,436,891
968,532,781,694,367,842,593,728
415,897,346,921,578,763,489,956
762,483,972,596,841,325,697,432
309,851,467,783,952,496,874,591
856,742,398,961,583,729,456,837
593,476,821,347,896,562,983,741
841,523,976,498,763,419,587,932
378,961,542,873,694,851,436,769
925,487,319,756,821,593,972,546
672,843,596,481,937,764,328,891
419,751,863,547,692,981,456,723
786,532,947,698,843,576,921,489
953,487,761,923,596,842,367,875
821,694,532,876,941,763,598,432
568,931,487,769,852,691,974,521
795,346,892,631,978,547,821,763
432,987,541,896,763,921,698,356
879,623,794,532,841,467,976,821
546,891,378,967,692,853,541,789
923,476,821,694,587,932,463,875
671,852,936,541,789,376,921,632
348,976,583,892,641,758,497,843
795,421,867,736,923,589,876,531
462,938,576,821,497,963,742,698
819,563,941,387,876,521,693,947
576,892,736,498,961,843,579,426
943,687,521,976,832,769,463,891
781,936,498,843,597,921,876,532
628,751,863,576,942,498,769,931
